emp_no,dept_name,first_name,last_name,birth_date,from_date,to_date,title
10095,Sales,Hilari,Morton,1965-01-03,1994-03-10,9999-01-01,Staff
10122,Development,Ohad,Esposito,1965-01-19,1998-08-06,9999-01-01,Technique Leader
10291,Sales,Dipayan,Seghrouchni,1965-01-23,1987-03-30,9999-01-01,Senior Staff
10476,Research,Kokou,Iisaka,1965-01-01,1987-09-20,9999-01-01,Staff
10663,Production,Teunis,Noriega,1965-01-09,1999-02-12,9999-01-01,Technique Leader
10762,Research,Lech,Himler,1965-01-19,1992-01-21,9999-01-01,Staff
10933,Production,Juyoung,Seghrouchni,1965-01-24,1993-08-02,9999-01-01,Senior Engineer
12155,Production,Keiichiro,Glinert,1965-01-21,1993-09-16,9999-01-01,Senior Engineer
12408,Development,Rasiah,Sudkamp,1965-01-10,1995-04-18,9999-01-01,Senior Engineer
12643,Finance,Morrie,Schurmann,1965-01-30,1998-12-31,9999-01-01,Staff
13499,Production,Kazuhiko,Sidou,1965-01-16,1991-09-01,9999-01-01,Technique Leader
14075,Development,Denny,Tchuente,1965-01-03,1991-05-30,9999-01-01,Engineer
14104,Human Resources,Sudhanshu,Demian,1965-01-03,1994-07-23,9999-01-01,Senior Staff
14127,Production,Magdalena,Cannard,1965-01-10,1994-04-22,9999-01-01,Engineer
14158,Sales,Caolyn,Setiz,1965-01-22,1990-02-06,9999-01-01,Staff
14476,Production,Sastry,Marrevee,1965-01-19,1999-09-25,9999-01-01,Engineer
14907,Sales,Nakhoon,Luga,1965-01-14,1986-12-18,9999-01-01,Senior Staff
15050,Production,Nikolaos,Kruskal,1965-01-18,1990-12-17,9999-01-01,Engineer
15058,Finance,Bouchung,Bugrara,1965-01-30,1990-06-18,9999-01-01,Staff
15413,Development,Arvin,Rabejac,1965-01-17,1994-01-01,9999-01-01,Senior Engineer
16461,Sales,Remmert,Schahn,1965-01-14,1986-09-06,9999-01-01,Staff
16528,Production,Gaurav,Swick,1965-01-21,1996-05-07,9999-01-01,Assistant Engineer
17013,Finance,Morris,Garigliano,1965-01-15,1995-05-24,9999-01-01,Senior Staff
17206,Production,Berry,DeMori,1965-01-02,1992-12-27,9999-01-01,Engineer
17369,Production,Yaghout,Kenevan,1965-01-31,2000-09-15,9999-01-01,Senior Engineer
17447,Sales,Zengping,Boreale,1965-01-11,1998-12-16,9999-01-01,Staff
17731,Development,Gennady,Roison,1965-01-16,1989-12-06,9999-01-01,Assistant Engineer
17970,Production,Filipp,Carrere,1965-01-06,1989-01-09,9999-01-01,Technique Leader
17988,Production,Mabhin,Calkin,1965-01-31,1989-11-30,9999-01-01,Senior Engineer
18021,Development,Adil,Matzke,1965-01-07,1987-05-08,9999-01-01,Engineer
18424,Development,Filipp,Rousseau,1965-01-19,1995-06-07,9999-01-01,Senior Engineer
18583,Customer Service,Stafford,Honglei,1965-01-03,1998-08-16,9999-01-01,Staff
18617,Human Resources,Surveyors,Crouzet,1965-01-21,1989-04-24,9999-01-01,Senior Staff
18810,Development,Taiji,Jarecki,1965-01-09,1991-06-27,9999-01-01,Senior Engineer
19236,Production,Elzbieta,Morris,1965-01-24,1988-07-12,9999-01-01,Engineer
19350,Customer Service,Satoru,Yoshizawa,1965-01-19,1994-03-27,9999-01-01,Staff
19803,Development,Ziva,Kowalchuk,1965-01-30,1987-06-13,9999-01-01,Senior Engineer
20100,Marketing,Utz,Heuter,1965-01-18,1986-06-15,9999-01-01,Senior Staff
20128,Customer Service,Kazunori,Peak,1965-01-23,1999-08-13,9999-01-01,Senior Staff
20129,Production,Rafael,Skafidas,1965-01-10,1991-03-28,9999-01-01,Senior Engineer
20248,Customer Service,Vidar,Demri,1965-01-12,1999-12-31,9999-01-01,Staff
